"FA501_KEF-OSL_2014-05-01:

NO872200;Terje Gundersen;19B;m;
IS162884;Gísli Arnarson;19B;m;
NO961933;Kari Tveit;19C;a;
SE681315;Maja Pettersson;19C;a;
NO913596;Eivind Pedersen;19D;a;
IS431910;Stefanía Ingólfsdóttir;19D;a;
SE817414;Vincent Nilsson;19E;m;
NO156112;Karin Vik;19E;m;
SE837055;Selma Nilsson;19F;w;
NO714846;Eva Moen;19F;w;
IS318339;Ragnheiður Ægisdóttir;20A;w;
SE476184;Frank Nilsson;20A;w;
IS737277;Sigríður Birgisdóttir;20B;m;
IS157317;Guðmundur Daníelsson;20B;m;
IS328942;Helga Sveinsdóttir;20C;a;
SE703567;Elly Pettersson;20C;a;
NO742973;Petter Knudsen;20D;a;
IS746479;Margrét Alexandersdóttir;20D;a;
NO581269;Kari Hansen;20E;m;
IS144526;Ólafur Sverrisson;20E;m;
IS872260;Guðrún Sveinsdóttir;20F;w;
IS404798;Kristín Káradóttir;20F;w;
IS230445;Marín Vilhjálmsdóttir;21A;w;
NO287222;Inger Haugen;21A;w;
NO162532;Bjorn Haugen;21B;m;
IS507816;Jón Hlynsson;21C;a;
IS335532;Hildur Gunnlaugsdóttir;21C;a;
NO423361;Martin Johnsen;21D;a;
SE334217;Alfred Axelsson;21D;a;
IS102836;Herdís Guðlaugsdóttir;21E;m;
NO856548;Thomas Andersen;21E;m;
IS357945;Bjarni Jóhannsson;21F;w;
NO833321;Lise Larsen;21F;w;
IS779151;Steinn Halldórsson;22A;w;
IS115399;Margrét Arnardóttir;22A;w;
IS340348;Ingibjörg Eiríksdóttir;22B;m;
NO210706;Terje Olsen;22B;m;
IS540260;Auður Sveinsdóttir;22C;a;
IS731208;Ingvar Kristófersson;22C;a;
IS611588;Brynja Birkisdóttir;22D;a;
IS340270;Margrét Heiðarsdóttir;22D;a;
IS179397;Ragnhildur Óskarsdóttir;22E;m;
NO778968;Camilla Hansen;22E;m;
IS270297;Áslaug Jónasdóttir;22F;w;
NO663401;Thomas Svendsen;22F;w;
IS270307;María Grétarsdóttir;23A;w;
IS574132;Bragi Vilhjálmsson;23A;w;
IS210059;Sara Harðardóttir;23B;m;
NO609735;Arne Berge;23B;m;
NO568704;Svein Knudsen;23C;a;
SE915741;Julie Andreassen;23C;a;
NO695240;Line Kristoffersen;23D;a;
IS765324;Guðrún Aðalsteinsdóttir;23D;a;
IS491688;Óli Bragason;23E;m;
NO456723;Unni Olsen;23E;m;
IS186882;Þórunn Andradóttir;23F;w;
NO248534;Ragnhild Jakobsen;23F;w;
SE480977;Emil Jönsson;24A;w;
IS156099;Árni Þórisson;24A;w;
IS385079;Íris Elísdóttir;24B;m;
IS870503;Eva Reynisdóttir;24B;m;
SE853959;Jasmine Berg;24C;a;
IS779177;Guðbjörg Bergmannsdóttir;24C;a;
SE969225;Noah Olsson;24D;a;
IS788051;Einar Hermannsson;24D;a;
NO511990;Frank Haugen;24E;m;
NO693409;Jørgen Kristensen;24E;m;
IS786848;Gunnar Magnússon;24F;w;
NO547905;Tore Nygård;24F;w;
SE525808;Daniel Olsson;25A;w;
NO736103;Janne Rasmussen;25A;w;
SE572750;Tuva Olsson;25B;m;
NO267452;Anna Rasmussen;25B;m;
NO606983;Line Lien;25C;a;
NO245729;Terje Kristiansen;25C;a;
IS972647;Ingibjörg Guðjónsdóttir;25D;a;
IS519702;Þór Bergmannsson;25D;a;
IS710776;Jan Kristiansen;25E;m;
NO406719;Silje Hanssen;25E;m;
IS258186;Freyr Guðnason;25F;w;
NO425754;Solveig Olsen;25F;w;
IS131839;Ómar Ívarsson;26A;w;
NO332406;Gerd Haugen;26A;w;
IS598408;María Jóhannesdóttir;26B;m;
NO977342;Eirik Amundsen;26B;m;
NO762009;Berit Ruud;26C;a;
NO684516;Anne Andreassen;26C;a;
NO394811;Marit Gulbrandsen;26D;a;
IS345607;Bjarki Arnarson;26D;a;
NO473470;Ida Moe;26E;m;
IS850434;Elín Steinsdóttir;26E;m;
NO884522;Malin Gundersen;26F;w;
NO779867;Tonje Holm;26F;w;
NO178533;Roar Pedersen;27A;w;
NO622145;Per Pedersen;27A;w;
IS676092;Eva Stefánsdóttir;27B;m;
IS989294;Ásdís Sindradóttir;27B;m;
NO843159;Jorunn Ødegård;27C;a;
NO657979;Hilde Henriksen;27C;a;
NO118020;Sander Eriksen;27D;a;
NO139504;Tone Nielsen;27D;a;
SE695830;Adam Larsson;27E;m;
NO375835;Alf Moe;27E;m;
SE720263;Sara Larsson;27F;w;
NO228564;Olaf Moe;27F;w;
IS123908;Leó Sindrason;28A;w;
NO174418;Irene Larsen;28A;w;
IS009456;Helgi Egilsson;28B;m;
IS123748;Ólafur Friðriksson;28B;m;
IS017756;Ásgeir Friðriksson;28C;a;
NO628810;Julie Jørgensen;28C;a;
IS103758;Atli Sverrisson;28D;a;
NO862442;Lars Andersen;28D;a;
IS496720;Guðmundur Viðarsson;28E;m;
IS589759;Hulda Brekadóttir;28E;m;
IS047698;Garðar Eyþórsson;28F;w;
IS453092;Elín BGunnarsdóttir;28F;w;
IS135489;Magnús Axelsson;29A;w;
IS153090;Bryndís Gunnarsdóttir;29A;w;
IS112039;Ásgeir Ingvason;29B;m;
SE163911;Elsa Jonsson;29B;m;
IS982347;Guðmundur Davíðsson;29C;a;
NO202109;Kjell Pedersen;29C;a;
IS204985;Gunnar Stefánsson;29D;a;
NO093309;Astrid Pedersen;29D;a;
IS723640;Jóhannes Egilsson;29E;m;
IS204347;Auður Viðarsdóttir;29E;m;
IS005834;Árni Hafsteinsson;29F;w;
IS239416;Trausti Þórarinsson;29F;w;
SE511970;Jasmine  Larsson;30A;w;
NO538988;Olav Jensen;30A;w;
NO164271;Silje Jacobsen;30B;m;
IS231870;Darri Tryggvason;30B;m;
NO863925;Anne Johannessen;30C;a;
IS756513;Ágústa Þorvaldsdóttir;30C;a;
NO251481;Anne Bakken;30D;a;
NO111309;Kari Pedersen;30D;a;
IS504516;Sveinn Guðjónsson;30E;m;
SE179354;Theodor Wallin;30E;m;
IS996724;Helga Sigurjónsdóttir;30F;w;
IS208543;Þórir Heiðarsson;30F;w;
NO582961;Stine Jensen;31A;w;
NO218924;Ole Dahl;31A;w;
IS289485;Axel Jóhannesson;31B;m;
IS110102;Páll Þórisson;31B;m;
NO975687;Pål Johansen;31C;a;
NO904206;Maria Olsen;31C;a;
IS895419;Gunnar Magnússon;31D;a;
NO927801;Einar Christensen;31D;a;
IS910046;Sigrún Eyþórsdóttir;31E;m;
NO924323;Stian Nilsen;31E;m;
IS623996;Hrafnhildur Þorvaldsdóttir;31F;w;
IS817640;Jóhann Baldursson;31F;w;
IS219691;Kristín Gunnlaugsdóttir;32A;w;
NO119388;Gunn Lie;32A;w;
SE195379;Klara Björk;32B;m;
SE370557;Olivia Karlsson;32B;m;
NO917268;Hilde Larsen;32C;a;
IS280076;Ragnheiður Axelsdóttir;32C;a;
NO962534;Anne Myhre;32D;a;
IS476829;Ágúst Róbertsson;32D;a;
NO444382;Solveig Sørensen;32E;m;
NO497765;Harald Olsen;32E;m;
NO913478;Aud Pedersen;32F;w;
SE405464;Klara Persson;32F;w;

CARRIER: Boeing 757
List Compiled 2016-02-23"
